Menu Item Name,Family Group,Major Group,Qty Sold
CHIX TATOR SAND,SANDWICHES,FOOD,2728
BRKFST B STEAK,FOOD,FOOD,2726
FRSH SPINACH,SALAD,FOOD,2719
ICED COFFEE L,BEVERAGES,BEVERAGES,2709
NONCARB SODA,BEVERAGES,BEVERAGES,2662
EMP NAKD BURRI,EMPLOYEE MEALS,EMPL MEALS,2630
MILK 1/2 PNT,BEVERAGES,BEVERAGES,2611
LEMN P MUFFN,DESSERTS,FOOD,2556
TANGIER CHIX,ENTREES,FOOD,2553
COCONT BASL RICE,SIDES,FOOD,2542
DIRTY RICE,SIDES,FOOD,2528
CHERRY TOMATO,SALAD,FOOD,2486
SCRMBLD EGGS,BREAKFAST,FOOD,2481
FRIED OKRA,SIDES,FOOD,2459
X STEAK,FOOD,FOOD,2414
COFFEE L,BEVERAGES,BEVERAGES,2400
Y SAN. HAM/SWSS,GRAB N GO,FOOD,2394
BAKED SQUASH,SIDES,FOOD,2372
CORNMEAL CATFISH,ENTREES,FOOD,2356
SPCY CRAB MAKI,ENTREES,FOOD,2340
HOKIE MAKI,ENTREES,FOOD,2278
SINGLE BAGEL,BREAKFAST,FOOD,2275
YTG BLUEB. PARF.,GRAB N GO,FOOD,2269
RED ONIONS,SALAD,FOOD,2244
Y SAN. BF/CHDR,GRAB N GO,FOOD,2229
CHIPS N GUACML,FOOD,FOOD,2226
MARGEHRITA,PIZZA,FOOD,2215
SP TUNA AVOCADO,ENTREES,FOOD,2204
BROWNIE,DESSERTS,FOOD,2192
KASHMIR CHIX,ENTREES,FOOD,2130
ROMAINE,SALAD,FOOD,2130
SHEPHERDS PIE,ENTREES,FOOD,2125
BEEF BRISKET,ENTREES,FOOD,2120
TURK CHIPTL CLB,SANDWICHES,FOOD,2111
BOSCO STICKS,PREPACKAGED,RETAIL,2100
BISCUIT,BREAKFAST,FOOD,2091
COOKE CHOC/CHOC,DESSERTS,FOOD,2047
FOUNTN W DISCNT,BEVERAGES,BEVERAGES,2045
TUESDAY BL PLTE,BREAKFAST,FOOD,2037
FARMHSE EGG SAND,SANDWICHES,FOOD,1983
PLAIN OATMEAL,BREAKFAST,FOOD,1979
ZUCCHINI & BASIL,SIDES,FOOD,1970
CRAISINS,SALAD,FOOD,1963
Y REDPR/PITA,GRAB N GO,FOOD,1954
CAESAR SLD,SALAD,FOOD,1932
ISL PITAYA BWL O,BEVERAGES,BEVERAGES,1889
SALMON,ENTREES,FOOD,1889
RSTD TOMT SL,PIZZA,FOOD,1857
ORG TOMATO,SOUPS/ STEWS,FOOD,1844
ADD SHOT,BEVERAGES,BEVERAGES,1813
BAKED BEANS,SIDES,FOOD,1811
ESP LATTE M,BEVERAGES,BEVERAGES,1806
STMD BROC/BTR,SIDES,FOOD,1804
HERBY TURKEY,SANDWICHES,FOOD,1792
YOGURT CUP,PREPACKAGED,RETAIL,1768
SALMON MAKI,ENTREES,FOOD,1760
EGG N MEAT,BREAKFAST,FOOD,1755
GARBANZO BNS,SALAD,FOOD,1754
YTG RASP. PARF.,GRAB N GO,FOOD,1748
EGG WHT N SDT,BREAKFAST,FOOD,1745
SEASONAL BOWL,BREAKFAST,FOOD,1745
YTG FRT CANTLP,GRAB N GO,FOOD,1735
