Menu Item Name,Family Group,Major Group,Qty Sold
9 X 9 COMPOSTBLE,RETAIL,RETAIL,58850
NB CHICKEN,FOOD,FOOD,43449
EGG/CHZ N MEAT,BREAKFAST,FOOD,42987
MASHED POTATOS,SIDES,FOOD,39181
ICE/WATER,BEVERAGES,BEVERAGES,32797
FOUNTAIN,BEVERAGES,BEVERAGES,27968
M/M 12OZ JCE,BEVERAGES,BEVERAGES,27855
CARB SODA,BEVERAGES,BEVERAGES,20121
NQ CHICKEN,FOOD,FOOD,20106
SWEET CREPE,DESSERTS,FOOD,20101
COFFEE M,BEVERAGES,BEVERAGES,19369
FOUNTN Q,BEVERAGES,BEVERAGES,19118
ICE/WATER,BEVERAGES,BEVERAGES,18742
CHIX/RICE,ENTREES,FOOD,17400
CHIPS N QUESO,FOOD,FOOD,17365
BEEF/RICE,ENTREES,FOOD,16983
X NUTELLA,TOPPINGS,FOOD,16451
4 CHEEZ SL,PIZZA,FOOD,16194
CREAM CHZ BGL,BREAKFAST,FOOD,15969
FRESH FRUIT,FRESH FRUIT,RETAIL,15555
PEPPRNI SL,PIZZA,FOOD,15053
POWERADE,BEVERAGES,BEVERAGES,14846
M/M 160Z JCE,BEVERAGES,BEVERAGES,13792
CHIPS TP,GRAB N GO,RETAIL,13113
HOKIE WATER,BEVERAGES,BEVERAGES,13037
SUB CHIX PARM,SANDWICHES,FOOD,12257
X STRAWBERRY,TOPPINGS,FOOD,12206
X BANANAS,TOPPINGS,FOOD,12028
NB STEAK,FOOD,FOOD,11988
COOKE CHOC CHIP,DESSERTS,FOOD,11799
SOFT ROLL,SALAD BAR,FOOD,11576
B CHICKEN,FOOD,FOOD,10914
WESTERN,BREAKFAST,FOOD,10881
GRLD CHIX BRST,ENTREES,FOOD,10803
CHIX&WAFFLE,ENTREES,FOOD,10231
COFEE MD BRUEG,BEVERAGES,BEVERAGES,9357
X CHICKEN,FOOD,FOOD,9317
FRESH FRUIT,BEVERAGES,BEVERAGES,9171
FRIED CHIX,ENTREES,FOOD,9112
MAC N CHEESE,SIDES,FOOD,8812
FRIED RICE,ENTREES,FOOD,8691
SPECIAL PIZZA,PIZZA,FOOD,8558
SIDE OF CHIPS,FOOD,FOOD,8121
CARAMEL FLAV,BEVERAGES,BEVERAGES,8017
CUCUMBERS,SALAD,FOOD,7846
Q CHICKEN,FOOD,FOOD,7680
YTG FRT C.STRW,GRAB N GO,FOOD,7546
MILK 1/2 PT,BEVERAGES,BEVERAGES,7465
QUESAD CHICKN,FOOD,FOOD,7361
CHIX PESTO SL,PIZZA,FOOD,7284
NONCARB SODA,BEVERAGES,BEVERAGES,7272
YTG FRUIT CUP LG,GRAB N GO,FOOD,7184
CARROTS,SALAD,FOOD,7054
HOKIE WATER,BEVERAGES,BEVERAGES,6884
