Menu Item Name,Family Group,Major Group,Qty Sold
9 X 9 COMPOSTBLE,RETAIL,RETAIL,66163
NB CHICKEN,FOOD,FOOD,59507
EGG/CHZ N MEAT,BREAKFAST,FOOD,41021
MASHED POTATOS,SIDES,FOOD,36626
ICE/WATER,BEVERAGES,BEVERAGES,30478
M/M 12OZ JCE,BEVERAGES,BEVERAGES,26594
FOUNTAIN,BEVERAGES,BEVERAGES,23707
BEEF/RICE,ENTREES,FOOD,23200
CARB SODA,BEVERAGES,BEVERAGES,22644
CHIX/RICE,ENTREES,FOOD,21922
COFFEE M,BEVERAGES,BEVERAGES,21699
NQ CHICKEN,FOOD,FOOD,21392
FRESH FRUIT,FRESH FRUIT,RETAIL,18662
SWEET CREPE,DESSERTS,FOOD,18262
ICE/WATER,BEVERAGES,BEVERAGES,17458
POWERADE,BEVERAGES,BEVERAGES,17109
CREAM CHZ BGL,BREAKFAST,FOOD,16820
FOUNTN Q,BEVERAGES,BEVERAGES,16593
CHIPS N QUESO,FOOD,FOOD,16441
NB STEAK,FOOD,FOOD,16372
X NUTELLA,TOPPINGS,FOOD,15746
HOKIE WATER,BEVERAGES,BEVERAGES,14493
M/M 160Z JCE,BEVERAGES,BEVERAGES,14134
CHIPS TP,GRAB N GO,RETAIL,13639
4 CHEEZ SL,PIZZA,FOOD,13358
PEPPRNI SL,PIZZA,FOOD,13268
GRLD CHIX BRST,ENTREES,FOOD,13006
X STRAWBERRY,TOPPINGS,FOOD,12234
SOFT ROLL,SALAD BAR,FOOD,12031
FRIED RICE,ENTREES,FOOD,11904
COOKE CHOC CHIP,DESSERTS,FOOD,11859
B CHICKEN,FOOD,FOOD,11591
WESTERN,BREAKFAST,FOOD,11424
SUB CHIX PARM,SANDWICHES,FOOD,11371
X BANANAS,TOPPINGS,FOOD,11135
X CHICKEN,FOOD,FOOD,10835
BETR BACN CHD,BREAKFAST,FOOD,10021
CUCUMBERS,SALAD,FOOD,9951
CHIX&WAFFLE,ENTREES,FOOD,9946
FRESH FRUIT,BEVERAGES,BEVERAGES,9907
COFEE MD BRUEG,BEVERAGES,BEVERAGES,9674
SIDE OF CHIPS,FOOD,FOOD,9411
FRIED CHIX,ENTREES,FOOD,9272
CARAMEL FLAV,BEVERAGES,BEVERAGES,9143
CARROTS,SALAD,FOOD,8771
SUTHRN SUCATSH,SIDES,FOOD,8720
YTG FRT C.STRW,GRAB N GO,FOOD,8544
MILK 1/2 PT,BEVERAGES,BEVERAGES,8396
MAC N CHEESE,SIDES,FOOD,8392
GREEK YOGURT,PREPACKAGED,RETAIL,8099
MESCLUN MIX,SALAD,FOOD,7623
PEPPERS,SALAD,FOOD,7487
YTG FRUIT CUP LG,GRAB N GO,FOOD,7359
SPECIAL PIZZA,PIZZA,FOOD,7329
HOKIE WATER,BEVERAGES,BEVERAGES,7111
MAMAS MEATLF,ENTREES,FOOD,7068
SPCY TUNA MAKI,ENTREES,FOOD,7051
RSTD SWT POTATO,SIDES,FOOD,6973
DASANI,BEVERAGES,BEVERAGES,6708
FRSH SPINACH,SALAD,FOOD,6610
FETA,SALAD,FOOD,6543
PLAIN OATMEAL,BREAKFAST,FOOD,6508
YTG STWB.PARF,GRAB N GO,FOOD,6481
BELVITA COOKIE,PREPACKAGED,FOOD,6335
ICED COFEE LG B,BEVERAGES,BEVERAGES,6312
EGGS,SALAD,FOOD,6267
NB VEGETABLE,FOOD,FOOD,6142
CHERRY TOMATO,SALAD,FOOD,6097
WRAP CLASSIC,BREAKFAST,FOOD,6076
ALFREDO,PASTA,FOOD,6018
CHIX PESTO SL,PIZZA,FOOD,5989
ICED COFEE MD B,BEVERAGES,BEVERAGES,5986
CRAISINS,SALAD,FOOD,5922
NONCARB SODA,BEVERAGES,BEVERAGES,5914
EGG N CHEESE,BREAKFAST,FOOD,5656
ROMAINE,SALAD,FOOD,5548
ACAI BLISS BWL T,BEVERAGES,BEVERAGES,5492
BBQ CHIX,PIZZA,FOOD,5490
SUB CHIX PESTO,SANDWICHES,FOOD,5476
VANILLA FLAV,BEVERAGES,BEVERAGES,5467
CALIFRNA MAKI,ENTREES,FOOD,5446
NQ STEAK,FOOD,FOOD,5363
SMKD SALMN B,SANDWICHES,FOOD,5297
SPCY SHRMP MAKI,ENTREES,FOOD,5269
SPCY ZCNI GRNBNS,SIDES,FOOD,5176
CHOC MUFFIN,DESSERTS,FOOD,5149
QUESAD CHICKN,FOOD,FOOD,5136
SPECIAL PASTA,PIZZA,FOOD,5107
GRNBN/PEP/BACN,SIDES,FOOD,4924
COFEE SM BRUEG,BEVERAGES,BEVERAGES,4900
SALMON,ENTREES,FOOD,4806
SPCY CRAB MAKI,ENTREES,FOOD,4721
YTG FRT C. GRPES,GRAB N GO,FOOD,4715
TURK CHIPTL CLB,SANDWICHES,FOOD,4656
B STEAK,FOOD,FOOD,4560
ICED COFFEE M,BEVERAGES,BEVERAGES,4547
BUFFLO CHIX,PIZZA,FOOD,4533
CHC HAZLNT CROIS,DESSERTS,FOOD,4517
COFEE LG BRUEG,BEVERAGES,BEVERAGES,4496
RED ONIONS,SALAD,FOOD,4452
DIRTY RICE,SIDES,FOOD,4444
TP PNUT CELERY,PREPACKAGED,FOOD,4416
RSTD TOMT SL,PIZZA,FOOD,4397
ICED COFFEE L,BEVERAGES,BEVERAGES,4380
YTG FRT PINAPLE,GRAB N GO,FOOD,4310
MSHRM ASPGS RICE,SIDES,FOOD,4306
MILK 1/2 PNT,BEVERAGES,BEVERAGES,4288
PERUVIAN CHIX,ENTREES,FOOD,4217
BRUEGR MUFFIN,DESSERTS,FOOD,4137
SHRIMP,ENTREES,FOOD,3972
SHRMP/CHIX ETUF,ENTREES,FOOD,3954
MONDAY BL PLTE,BREAKFAST,FOOD,3943
CNTRY GRN BNS,SIDES,FOOD,3930
PARM. CHEESE,SALAD,FOOD,3930
GELATO/SORBE SM,ICE CREAM,FOOD,3907
TP SIDE CAESAR,SIDES,FOOD,3901
GARBANZO BNS,SALAD,FOOD,3869
WALNUTS,SALAD,FOOD,3833
BEEF/NOODLES,ENTREES,FOOD,3827
BLBERRY MUFFN,DESSERTS,FOOD,3815
SCRMBLD EGGS,BREAKFAST,FOOD,3799
CHUNKY STRW BW T,BEVERAGES,BEVERAGES,3794
ESP LATTE M,BEVERAGES,BEVERAGES,3786
1872 RST CHIX,ENTREES,FOOD,3760
CHX/NOODLES,ENTREES,FOOD,3686
PORK/MUSHRM SC,ENTREES,FOOD,3653
TEA BAG,BEVERAGES,BEVERAGES,3627
CHIX SWEET CHILI,ENTREES,FOOD,3620
ZUCCHINI & BASIL,SIDES,FOOD,3575
SUNFLWER SDS,SALAD,FOOD,3524
COFFEE L,BEVERAGES,BEVERAGES,3511
Q CHICKEN,FOOD,FOOD,3453
BRAISED CHIX,ENTREES,FOOD,3452
ADD SHOT,BEVERAGES,BEVERAGES,3435
CEREAL,PREPACKAGED,FOOD,3431
CHIX THAI PNUT SC,ENTREES,FOOD,3426
MUSTRD CHIX BR,ENTREES,FOOD,3416
WEDNES. BL PLTE,BREAKFAST,FOOD,3390
BEEF STROGNOFF,ENTREES,FOOD,3352
FRIDAY BL PLTE,BREAKFAST,FOOD,3351
MUSHROOMS,SALAD,FOOD,3349
GELATO/SORBE MD,ICE CREAM,FOOD,3339
BOSCO STICKS,PREPACKAGED,RETAIL,3285
TP SIDE GREEK,SIDES,FOOD,3222
FRIED CATFISH,ENTREES,FOOD,3210
HERBY TURKEY,SANDWICHES,FOOD,3208
TUESDAY BL PLTE,BREAKFAST,FOOD,3185
LEMN P MUFFN,DESSERTS,FOOD,3120
CHIPS N GUACML,FOOD,FOOD,3108
Y SAN. TRKY/PRV,GRAB N GO,FOOD,3102
SCALOP POTATO,SIDES,FOOD,3090
BLK OLIVE,SALAD,FOOD,3079
BEEF BRISKET,ENTREES,FOOD,3067
WKLY SAVORY CR,DESSERTS,FOOD,3060
BBQ RUBBD CHIX,ENTREES,FOOD,3023
LORRAINE S CR,DESSERTS,FOOD,3018
GRN BNS/OR BUTTR,SIDES,FOOD,3012
STMD BROC/BTR,SIDES,FOOD,2984
LEMN PEPP CHIX,ENTREES,FOOD,2983
ACAI PRIMO BWL O,BEVERAGES,BEVERAGES,2977
MARGEHRITA,PIZZA,FOOD,2964
EEL MAKI,ENTREES,FOOD,2905
PRIMO PESTO,SANDWICHES,FOOD,2905
FRIED OKRA,SIDES,FOOD,2850
COOKE CHOC/CHOC,DESSERTS,FOOD,2786
THURS. BL PLTE,BREAKFAST,FOOD,2785
HARVEST TURKY,SANDWICHES,FOOD,2782
BAKED SQUASH,SIDES,FOOD,2755
BOLOGNESE,PASTA,FOOD,2754
TP SLD TSCN CHIX,ENTREES,FOOD,2752
SALMON MAKI,ENTREES,FOOD,2663
ADD TOFU,ENTREES,FOOD,2595
ICED LATTE M,BEVERAGES,BEVERAGES,2575
CHNKY STRW BWL O,BEVERAGES,BEVERAGES,2569
GELATO/SORBE LG,ICE CREAM,FOOD,2533
EMP NAKD BURRI,EMPLOYEE MEALS,EMPL MEALS,2523
X PEANUT BUTTR,TOPPINGS,FOOD,2497
PITAYA BWL T,BEVERAGES,BEVERAGES,2462
X STEAK,FOOD,FOOD,2423
8 oz FLT IRON STK,ENTREES,FOOD,2361
SOY,BEVERAGES,BEVERAGES,2360
ORG TOMATO,SOUPS/ STEWS,FOOD,2345
CRVD STRP LOIN,ENTREES,FOOD,2344
CAESAR SLD,SALAD,FOOD,2342
BACON,BREAKFAST,FOOD,2320
COOKE MAC NUT,DESSERTS,FOOD,2307
YTG BLUEB. PARF.,GRAB N GO,FOOD,2302
